Unnamed: 0,Polish,English
3380,spadamy ,we're falling 
3381,poznałam ,I met 
3382,kule ,crutches 
3383,myśleliśmy ,we thought 
3384,pozostaje ,remains 
3385,powiedzcie ,tell me 
3386,stanowisko ,position 
3387,sekundę ,a second 
3388,cena ,price 
3389,butelkę ,bottle 
3390,wyślij ,send 
3391,pańską ,yours 
3392,przyszłaś ,you came 
3393,wskazuje ,indicates 
3394,kończyć ,end 
3395,telefony ,phones 
3396,bić ,to beat 
3397,lekarze ,doctors 
3398,oczami ,eyes 
3399,zakład ,bet 
3400,pożyczyć ,to borrow 
3401,posiada ,has 
3402,długie ,long 
3403,chłopaków ,boys 
3404,nosisz ,you wear 
3405,zapytam ,I'll ask 
3406,andrew ,andrew 
3407,łap ,catch 
3408,londynu ,London 
3409,gdyż ,because 
3410,maszyna ,machine 
3411,ziemią ,earth 
3412,uwierzysz ,you will believe it 
3413,przejdzie ,it will pass 
3414,tajne ,secret 
3415,aresztować ,arrest 
3416,pierścień ,ring 
3417,dyrektor ,director 
3418,torbę ,bag 
3419,mordercą ,murderer 
3420,wyrzucić ,to throw away 
3421,kupię ,I will buy it 
3422,szalone ,crazy 
3423,barry ,Barry 
3424,poszli ,they went 
3425,zabawić ,entertain 
3426,miejmy ,let's 
3427,skontaktować ,contact 
3428,papiery ,papers 
3429,laski ,sticks 
3430,sally ,sally 
3431,zaproszenie ,invitation 
3432,skórę ,skin 
3433,dziewczynie ,girl 
3434,mięso ,meat 
3435,kontrakt ,contract 
3436,płacić ,pay 
3437,miesiąca ,month 
3438,idealny ,ideal 
3439,wracasz ,you're coming back 
3440,morgan ,morgan 
3441,johnson ,johnson 
3442,największy ,the biggest 
3443,zdrowia ,health 
3444,podłodze ,floor 
3445,cierpi ,suffers 
3446,chloe ,chloe 
3447,morze ,sea 
3448,puszczaj ,let go 
3449,jajka ,eggs 
3450,niebezpieczeństwie ,danger 
3451,śpisz ,you are sleeping 
3452,oficjalnie ,officially 
3453,zacznijmy ,let's start 
3454,szczęśliwi ,happy 
3455,tez ,Too 
3456,zakładam ,I assume 
3457,stawiam ,I bet 
3458,głupio ,stupid 
3459,krzywdy ,harm 
3460,draniu ,bastard 
3461,hollywood ,hollywood 
3462,cudowny ,wonderful 
3463,odwiedź ,visit 
3464,zdajesz ,you pass 
3465,mistrzem ,Master 
3466,robili ,they did 
3467,wybrał ,chose 
3468,powiemy ,we will tell 
3469,kochają ,they love 
3470,skurwielu ,motherfucker 
3471,doświadczenia ,experience 
3472,kota ,cat 
3473,zasięgu ,range 
3474,jeździć ,ride 
3475,gorsze ,worse 
3476,pracą ,Work 
3477,przesłuchanie ,hearing 
3478,śladu ,trace 
3479,ślad ,trace 
3480,dojść ,come 
3481,zajmujesz ,you occupy 
3482,prawem ,law 
3483,fred ,fred 
3484,major ,major 
3485,frankie ,frankie 
3486,zgłoś ,report 
3487,wrogów ,enemies 
3488,duchy ,ghosts 
3489,el ,el 
3490,big ,big 
3491,osiągnąć ,to achieve 
3492,środki ,means 
3493,poradzisz ,you can do it 
3494,głosu ,voice 
3495,jadą ,they're going 
3496,pustyni ,desert 
3497,pokaże ,I'll show you 
3498,morza ,seas 
3499,światem ,world 
3500,dupsko ,ass 
3501,kolega ,friend 
3502,choroba ,disease 
3503,wygrał ,won 
3504,is ,is 
3505,poszukać ,look 
3506,prosiłem ,I asked 
3507,słyszycie ,you hear 
3508,odpowiedzialność ,responsibility 
3509,poprosił ,he asked 
3510,all ,all 
3511,niebezpieczeństwo ,danger 
3512,piosenka ,song 
3513,liz ,lick 
3514,umiejętności ,skills 
3515,pacjenta ,patient 
3516,ostrzec ,warn 
3517,postaram ,I'll try 
3518,wyrok ,judgment 
3520,kilo ,kilo 
3521,gardło ,throat 
3522,prace ,works 
3523,skurwiel ,motherfucker 
3524,odbierz ,answer 
3525,wchodź ,come in 
3526,pytać ,ask 
3527,dłoń ,hand 
3528,choroby ,diseases 
3529,porozmawiajmy ,let's talk 
3530,agentem ,agent 
3531,zabójstwo ,murder 
3532,dwoma ,two 
3533,lekarstwo ,medicine 
3534,wchodzić ,enter 
3535,rozwiązać ,solve 
3536,lily ,lily 
3537,rick ,rick 
3538,dostaliśmy ,we got it 
3539,pachnie ,smells 
3540,frodo ,frodo 
3541,nogami ,legs 
3542,odpuść ,let it go 
3543,jersey ,jersey 
3544,najwyższy ,highest 
3545,czuł ,felt 
3546,płacz ,cry 
3547,katie ,Katie 
3548,pieprzona ,fucking 
3549,be ,be 
3550,poczujesz ,you will feel it 
3551,zostaniemy ,we will stay 
3552,zaczęli ,they started 
3553,babciu ,Grandma 
3554,punktów ,points 
3555,zwierzę ,animal 
3556,partner ,partner 
3557,meczu ,match 
3558,forsa ,bankroll 
3559,stworzyć ,create 
3560,wróg ,enemy 
3561,lou ,lou 
3562,kochamy ,we love 
3563,firmę ,company 
3564,kapelusz ,hat 
3565,tyler ,Tyler 
3566,zagrożenie ,danger 
3567,żarty ,jokes 
3568,spodziewałem ,I expected 
3569,zasługuje ,deserves 
3570,zapomnę ,I will forget 
3571,każ ,order 
3572,zamknięta ,closed 
3573,parker ,Parker 
3574,ulubiony ,favorite 
3575,zajmuję ,I occupy 
3576,wrota ,gate 
3577,tatę ,dad 
3578,pacjentów ,patients 
3579,lady ,lady 
3580,maggie ,Maggie 
3581,załatw ,deal with 
3582,świadkiem ,witness 
3583,klienta ,client 
3584,natury ,nature 
3585,byście ,you would 
3586,tamtym ,that one 
3587,doug ,doug 
3588,wyraźnie ,clearly 
3589,specjalne ,special 
3590,twardy ,hard 
3591,kupę ,poop 
3592,bogaty ,rich 
3593,któregoś ,someday 
3594,doskonały ,perfect 
3595,numery ,numbers 
3596,most ,bridge 
3597,choćby ,even 
3598,roger ,roger 
3599,wpływ ,influence 
3600,cudem ,miraculously 
3601,głównym ,Main 
3602,pytaj ,Ask 
3603,przeszkadzam ,I'm disturbing 
3604,lody ,ice-cream 
3605,dokonać ,make 
3606,liczba ,number 
3607,bohater ,character 
3608,gorąca ,hot 
3609,yo ,yo 
3610,kobiecie ,woman 
3611,niektórych ,some 
3612,Edward ,Edward 
3613,niezupełnie ,not exactly 
3614,paryża ,paris 
3615,leć ,lie down 
3616,panienko ,Miss 
3617,stół ,table 
3618,zapraszam ,I invite 
3619,st ,st 
3620,pomagać ,help 
3621,pożegnać ,bid farewell 
3622,rozmawiałeś ,you was talking 
3623,dowiedziałem ,I found out 
3624,źródła ,sources 
3625,przyniosłem ,I brought 
3626,mleko ,milk 
3627,baru ,bar 
3628,wtorek ,Tuesday 
3629,pamiętajcie ,remember 
3630,trzeciej ,third 
3631,przyjęcia ,parties 
3632,głodu ,hunger 
3633,rzucił ,threw 
3634,głodna ,hungry 
3635,rozmawiałam ,I was talking 
3636,podjąć ,take 
3637,chcielibyśmy ,we would like to 
3638,zadzwoni ,will call 
3639,bolało ,it hurt 
3640,jakichś ,some 
3641,chcieć ,to want 
3642,dużego ,big 
3643,linię ,line 
3644,opowieść ,story 
3645,konto ,account 
3646,obiekt ,object 
3647,dłoni ,hand 
3648,bezpieczni ,safe 
3649,porozmawiam ,I'll talk 
3650,mili ,nice 
3651,wsparcia ,support 
3652,poznaliśmy ,we met 
3653,pomysły ,ideas 
3654,opowiem ,I'll tell you 
3655,dziewczyno ,girl 
3656,typ ,type 
3657,płaszcz ,coat 
3658,ho ,ho 
3659,dziwką ,whore 
3660,powody ,grounds 
3661,dean ,Dean 
3662,Francisco ,Francisco 
3663,warta ,guard 
3664,wejdzie ,will come in 
3665,bal ,ball 
3666,wyjdziemy ,we'll leave 
3667,dusza ,soul 
3668,kazałem ,I ordered it 
3669,okręt ,ship 
3670,kup ,buy 
3671,ukraść ,steal 
3672,mówicie ,you say 
3673,powtórzyć ,to repeat 
3674,mr ,Mr 
3675,ofiarą ,victim 
3676,samemu ,alone 
3677,pola ,flap 
3678,pomyślał ,he thought 
3679,uratował ,saved 
3680,dojdzie ,it will come 
3681,howard ,Howard 
3682,zapomniał ,he forgot 
3684,umowy ,contracts 
3685,huh ,Huh 
3686,praktycznie ,practically 
3687,trafić ,hit 
3688,próbują ,they try 
3689,Buffy ,Buffy 
3690,opuścił ,left 
3691,przyjąłem ,Understood 
3692,ruszajcie ,go 
3693,miliona ,million 
3694,victor ,victor 
3695,linia ,line 
3696,dzwoniła ,she called 
3697,zarobić ,earn 
3698,komputera ,computer 
3699,kawałków ,pieces 
3700,pocałować ,kiss 
3701,kłamstwa ,lies 
3702,odnośnie ,with regard 
3703,szampana ,champagne 
3704,laska ,grace 
3705,adwokata ,lawyer 
3706,ulicę ,street 
3707,nauczyłem ,I taught 
3708,słucha ,listen 
3709,rozumiemy ,we understand 
3710,zginęli ,they died 
3711,noga ,leg 
3712,jebany ,fucking 
3713,zmianę ,change 
3714,znalazłaś ,you found it 
3715,szeryf ,sheriff 
3716,wynik ,result 
3717,przychodzą ,coming 
3718,pomówić ,talk 
3719,Paula ,Paul 
3720,przyszli ,they came 
3721,przestał ,He stopped 
3722,płakać ,cry 
3723,poważna ,serious 
3724,pocałuj ,kiss 
3725,żal ,regret 
3726,mamusia ,mommy 
3727,obowiązek ,duty 
3728,drzwiach ,door 
3729,kłamać ,to lie 
3730,weźmie ,will take 
3731,ctu ,ctu 
3732,powiedziałbym ,I'd say 
3733,kapitanem ,captain 
3734,wirus ,virus 
3735,wychodzisz ,you're leaving 
3736,wielkich ,great ones 
3737,garnitur ,suit 
3738,prezydentem ,president 
3739,zginiemy ,we will die 
3740,senator ,senator 
3741,mać ,mother 
3742,wściekły ,furious 
3743,pytał ,He was asking 
3744,pełną ,full 
3745,sprzedaż ,sale 
3746,ubranie ,clothes 
3747,wojsko ,army 
3748,oddzwonię ,I'll call you back 
3749,randka ,date 
3750,porę ,time 
3751,więzienie ,prison 
3752,zachowujesz ,you keep 
3753,niebieski ,blue 
3754,kupa ,heap 
3755,abby ,Abby 
3756,wydziału ,faculty 
3757,skończyłeś ,you're done 
3758,pewnej ,certain 
3759,naprawde ,Really 
3760,zginęła ,she died 
3761,gary ,Gary 
3762,toalety ,toilets 
3763,momentu ,moment 
3764,pojechał ,he drove 
3765,maja ,May 
3766,sprowadza ,brings 
3767,wbrew ,against 
3768,wzięła ,she took it 
3769,skończ ,finish 
3770,tekst ,text 
3771,wydać ,spend 
3772,marzenie ,dream 
3773,pracowników ,employees 
3774,obcych ,aliens 
3775,grze ,game 
3776,taksówkę ,taxi 
3777,rozmawia ,talking 
3778,wiedząc ,knowing 
3779,baby ,baby 
3780,idiotą ,idiot 
3781,planetę ,planet 
3782,lotnisku ,airport 
3783,któryś ,one 
3784,złaź ,get down 
3785,zaczną ,they will start 
3786,zajęło ,it took 
3787,podejrzany ,suspicious 
3788,niespodziankę ,surprise 
3789,jezusa ,Jesus 
3790,krótko ,short 
3791,telefonów ,phones 
3792,tajemnica ,mystery 
3793,wyciągnij ,pull it out 
3794,następną ,next 
3795,lista ,list 
3796,pożar ,fire 
3797,dosłownie ,literally 
3798,mowa ,speech 
3799,Marie ,Marie 
3800,napad ,attack 
3801,poniżej ,below 
3802,łazience ,bathroom 
3803,dziwko ,bitch 
3804,scenę ,scene 
3805,kumpla ,buddy 
3806,ważniejsze ,more important 
3807,piekle ,Hell 
3808,ostro ,sharply 
3809,szalona ,crazy 
3810,świadka ,witness 
3811,ślepy ,blind 
3812,Donna ,Donna 
3813,zdolności ,abilities 
3814,kamerę ,camera 
3815,anioł ,angel 
3816,sny ,dreams 
3817,dziurę ,hole 
3818,linie ,lines 
3819,uniknąć ,avoid 
3820,baw ,fun 
3821,wyspę ,island 
3822,ciepło ,warm 
3823,portfel ,wallet 
3824,pierdolę ,fuck 
3825,kiepsko ,poorly 
3826,śpiewać ,sing 
3827,załogi ,crew 
3828,słodka ,sweet 
3829,życzenie ,wish 
3830,patrick ,patrick 
3831,zaufanie ,trust 
3832,stanąć ,stand 
3833,spóźnienie ,late 
3834,resztą ,rest 
3835,biegiem ,running 
3836,wpadłem ,I fell in 
3837,lekcje ,lessons 
3838,policjant ,policeman 
3839,wyjątkowy ,exceptional 
3840,każdemu ,everyone 
3841,kółko ,circle 
3842,zostańcie ,stay 
3843,któremu ,which 
3844,karierę ,career 
3845,podejść ,approach 
3846,kurczaka ,chicken 
3847,jedz ,eat 
3848,strzały ,shots 
3849,zastrzel ,shoot 
3850,przetrwać ,survive 
3851,odchodzę ,I'm leaving 
3852,skarb ,treasure 
3853,ukrywa ,hides 
3854,zostawiłeś ,you left 
3855,dowodzi ,commands 
3856,niesamowity ,incredible 
3857,up ,up 
3858,podejrzanego ,suspect 
3859,rządzi ,rules 
3860,gorące ,hot 
3861,ruszyć ,move 
3862,poznał ,met 
3863,telewizor ,TV set 
3864,przerwać ,interrupt 
3865,carlos ,Carlos 
3866,trzecia ,third 
3867,em ,em 
3868,zamienić ,replace 
3869,prawnikiem ,lawyer 
3870,największym ,the biggest 
3871,kontrola ,control 
3872,białego ,white 
3873,mordercy ,murderers 
3874,poziomie ,level 
3875,komórkę ,cell phone 
3876,wartości ,values 
3877,for ,for 
3878,mocniej ,harder 
3879,zmian ,changes 
3880,sprawdzam ,checking 
3881,błędy ,mistakes 
3882,data ,date 
3883,skończyłam ,I finished 
3884,lekko ,slightly 
3885,stron ,pages 
3886,ryzykować ,risk 
3887,miss ,miss 
3888,kutas ,dick 
3889,siłą ,force 
3890,spotkaniu ,meeting 
3891,nóg ,legs 
3892,boją ,buoy 
3893,pieniędzmi ,money 
3894,pojawi ,will appear 
3895,wyłącznie ,only 
3896,start ,start 
3897,przypominam ,I remind you 
3898,fantastycznie ,fantastic 
3899,składa ,folds 
3900,partnera ,partner 
3901,godzinie ,hour 
3902,burza ,storm 
3903,zielone ,green 
3904,towarzystwa ,company 
3905,samochodów ,cars 
3906,ciasto ,cake 
3907,pary ,couples 
3908,tłum ,crowd 
3909,zmierza ,is heading 
3910,przeszedł ,passed 
3911,marcus ,Marcus 
3912,opieki ,care 
3913,uważają ,they think 
3914,szeryfa ,sheriff 
3915,bok ,side 
3916,winna ,guilty 
3917,spał ,he was sleeping 
3918,obaw ,concerns 
3919,jedźmy ,let's go 
3920,myślałaś ,you thought 
3921,nazwał ,he called 
3922,skupić ,focus 
3923,ruszajmy ,let's go 
3924,pańskim ,yours 
3925,puścić ,let go 
3926,robiliśmy ,we did 
3927,miller ,Miller 
3928,wyjechał ,he left 
3929,taak ,yeah 
3930,rośnie ,is growing 
3931,kradzież ,theft 
3932,poczuć ,feel 
3933,zwolnić ,slow down 
3934,miejscem ,place 
3935,ameryka ,America 
3936,rachunki ,bills 
3937,Jesse ,Jesse 
3938,Sophie ,Sophie 
3939,baza ,base 
3940,zwariowałeś ,you're crazy 
3941,upewnij ,make sure 
3942,dziecku ,child 
3943,próbujemy ,we're trying 
3944,niedzielę ,Sunday 
3945,wrażeniem ,impressed 
3946,nadzieja ,hope 
3947,nastroju ,mood 
3948,odsunąć ,move away 
3949,napisałem ,I wrote 
3950,miłością ,love 
3951,tracy ,tracy 
3952,herbatę ,tea 
3953,piosenki ,songs 
3954,czarną ,black 
3955,wstań ,get up 
3956,miles ,miles 
3957,przespać ,sleep 
3958,zachowywać ,behave 
3959,bywa ,sometimes 
3960,jednocześnie ,simultaneously 
3961,zasilanie ,power supply 
3962,podłogę ,floor 
3963,książce ,book 
3964,twojemu ,yours 
3965,przychodzić ,come 
3966,firmie ,company 
3967,dick ,dick 
3968,roli ,role 
3969,dziury ,holes 
3970,wchodzisz ,you come in 
3971,ciężka ,heavy 
3972,zadania ,tasks 
3973,praw ,rights 
3974,obudzić ,awaken 
3975,zebrać ,gather 
3976,spadł ,fell 
3977,słusznie ,rightly 
3978,alfa ,alpha 
3979,pada ,it's raining 
3980,zabawę ,fun 
3981,spojrzenie ,look 
3982,wyłaź ,exit 
3983,przemocy ,violence 
3984,powiedziano ,said 
3985,przestrzeni ,space 
3986,schowaj ,hide 
3987,skup ,purchase 
3988,honor ,honor 
3989,ścianie ,wall 
3990,kuzyn ,cousin 
3991,włącz ,turn on 
3992,kanał ,canal 
3993,Catherine ,Catherine 
3994,dzieciom ,children 
3995,lepszym ,better 
3996,wzdłuż ,along 
3997,cooper ,Cooper 
3998,babci ,grandma 
3999,wspaniałą ,wonderful 
4000,bałem ,I was afraid 
4001,karta ,card 
4002,butów ,shoes 
4003,zabiera ,takes away 
4004,potwór ,monster 
4005,kina ,cinemas 
4006,drogie ,expensive 
4007,zadaniem ,task 
4008,mieliście ,you had 
4009,uciekajcie ,run away 
4010,wiedzieliśmy ,we knew 
4011,cele ,goals 
4012,płacę ,salaries 
4013,przeszkadzać ,to disturb 
4014,pytałem ,I asked 
4015,Vincent ,Vincent 
4016,mistrza ,master 
4017,krzyczeć ,scream 
4018,domów ,houses 
4019,sposobem ,way 
4020,ciuchy ,clothes 
4021,kiepski ,bad 
4022,zniknęła ,She disappeared 
4023,kamera ,camera 
4024,uwielbia ,loves 
4025,wrócą ,they will come back 
4026,podobają ,they like it 
4027,ludzkości ,humanity 
4029,pokazuje ,shows 
4030,zostałam ,I stayed 
4031,straty ,losses 
4032,zmieniła ,she changed 
4033,torby ,bags 
4034,rękami ,hands 
4035,papierosa ,cigarette 
4036,stworzył ,created 
4037,wujka ,uncle 
4038,dotknąć ,touch 
4039,mylę ,I'm wrong 
4040,księcia ,prince 
4041,złotko ,honey 
4042,kolejnego ,next one 
4043,dennis ,dennis 
4044,angela ,Angela 
4045,troche ,A bit 
4046,każe ,orders 
4047,książek ,books 
4048,wysłałem ,I send 
4049,teoria ,theory 
4050,granicę ,border 
4051,dostarczyć ,deliver 
4052,piszę ,I'm writing 
4053,ścianę ,wall 
4054,zdolny ,capable 
4055,paliwa ,fuel 
4056,miałabym ,I would have 
4057,usunąć ,to remove 
4058,tys ,thousand 
4059,penny ,penny 
4060,so ,Sat 
4061,dowiesz ,you'll find out 
4062,planem ,plan 
4063,próbę ,trial 
4064,umierać ,die 
4065,dziadku ,Grandpa 
4066,licha ,damn 
4067,agentów ,agents 
4068,obozu ,camp 
4069,ryba ,fish 
4070,spust ,trigger 
4071,plotki ,gossip 
4072,ustalić ,to establish 
4073,podobny ,similar 
4074,obecności ,presence 
4075,padnij ,fall down 
4076,kolei ,railway 
4077,uderzenie ,hit 
4078,siedź ,sit 
4079,przeprowadzić ,carry out 
4080,beth ,Beth 
4081,puste ,empty 
4082,west ,west 
4083,zjedz ,eat 
4084,porno ,porn 
4085,dziwki ,whores 
4086,zaczęliśmy ,we started 
4087,psem ,dog 
4088,szyi ,neck 
4089,żyła ,vein 
4090,starą ,old 
4091,wysokie ,high 
4092,porządek ,order 
4093,poddać ,surrender 
4094,magii ,magic 
4095,małżeństwa ,marriages 
4096,idealne ,perfect 
4097,wyglądała ,she looked 
4098,pracowała ,she worked 
4099,lasu ,forest 
4100,dołączyć ,join 
4101,przygotujcie ,prepare 
4102,dokończyć ,to finish 
4103,powierzchni ,surface 
4104,oku ,eye 
4105,przechodzi ,passes 
4106,wygrywa ,wins 
4107,fajna ,cool 
4108,prędkość ,speed 
4109,pierścionek ,ring 
4110,julia ,Julia 
4111,pilot ,remote 
4112,swych ,their own 
4113,większości ,majority 
4114,centów ,cents 
4115,nocą ,at night 
4116,statki ,ships 
4117,zatrzymał ,stopped 
4118,drań ,bastard 
4119,dvdrip ,dvdrip 
4120,spotykać ,meet 
4121,planów ,plans 
4122,agencji ,agency 
4123,spada ,falls 
4124,silna ,strong 
4125,bierzemy ,we take it 
4126,zgadnę ,I'll guess 
4127,zaskoczony ,surprised 
4128,zapłacisz ,you will pay 
4129,abyśmy ,so that we 
4130,chore ,sick 
4131,pozostali ,the rest 
4132,lekarstwa ,medicines 
4133,greg ,greg 
4134,znoszę ,I can stand it 
4135,wyślę ,will send 
4136,wybierz ,choose 
4137,helikopter ,helicopter 
4138,wideo ,video 
4139,pudełko ,box 
4140,humoru ,humor 
4141,stoję ,I'm standing 
4142,zapłaci ,will pay 
4143,zasnąć ,fall asleep 
4144,rozum ,mind 
4145,planeta ,planet 
4146,lodu ,ice 
4147,spróbujmy ,let's try 
4148,tunel ,tunnel 
4149,włączyć ,to turn on 
4150,pojedziesz ,you will go 
4151,kościele ,church 
4152,sprawdziłem ,I checked 
4153,zmieniają ,they change 
4154,brown ,brown 
4155,przestaniesz ,you will stop 
4156,rocky ,rocky 
4157,poznaj ,meet 
4158,whisky ,whiskey 
4159,dowódca ,commander 
4160,pewności ,certainty 
4161,pozostałe ,the remaining 
4162,opowieści ,stories 
4163,byłbyś ,you would be 
4164,pokazał ,showed 
4165,zabójcy ,killers 
4166,zabicie ,killing 
4167,garażu ,garage 
4168,chodzisz ,you walk 
4169,mięsa ,meat 
4170,powstrzyma ,will stop 
4171,skurwysyn ,bastard 
4172,ufasz ,you trust 
4173,ptak ,bird 
4174,kieruje ,directs 
4175,inspektorze ,Inspector 
4176,różnicy ,difference 
4177,wychodź ,leave 
4178,próbki ,samples 
4179,decyzje ,decisions 
4180,pułapka ,trap 
4181,samotna ,lonely 
4182,ostrzeżenie ,warning 
4183,bezpośrednio ,directly 
4184,przyszliśmy ,we came 
4185,zamku ,castle 
4186,interesów ,interests 
4187,wzrok ,sight 
4188,dzwoniłem ,I called 
4189,chrystusa ,Christ 
4190,wezwij ,call 
4191,wrogiem ,enemy 
4192,wskakuj ,jump in 
4193,uczuć ,feelings 
4194,earl ,earl 
4195,ogromne ,huge 
4196,właścicielem ,owner 
4197,sukienkę ,dress 
4198,stanowiska ,positions 
4199,anne ,Anne 
4200,potrzebowała ,she needed 
4201,miłej ,nice 
4202,gazu ,gas 
4203,ego ,ego 
4204,piłka ,ball 
4205,sprowadzić ,bring 
4206,sieć ,network 
4207,odchodź ,go away 
4208,gwiazd ,stars 
4209,śnie ,dream 
4210,powtórz ,repeat 
4211,płynie ,flows 
4212,sprawiedliwość ,justice 
4213,propozycję ,suggestions 
4214,dałam ,I gave 
4215,kara ,penalty 
4216,zbieg ,fugitive 
4217,zwłoki ,corpse 
4218,nadchodzą ,they are coming 
4219,zwykłe ,usually 
4220,skrzydła ,wings 
4221,fakty ,facts 
4222,zgubiłem ,I lost it 
4223,żywego ,alive 
4224,samolocie ,plane 
4225,pierdolone ,fucking 
4226,lecę ,I'm flying 
4227,palić ,burn 
4228,biorą ,they take 
4229,ochoty ,willingness 
4230,lato ,summer 
4231,strój ,outfit 
4232,plecami ,back 
4233,liczby ,numbers 
4234,członków ,members 
4235,biurku ,desk 
4236,laura ,Laura 
4237,róbcie ,do it 
4238,mieszkał ,lived 
4239,chodzę ,I'm walking 
4240,stacja ,station 
4241,wybieram ,I choose 
4242,umierają ,they die 
4243,próby ,trials 
4244,rozmawiasz ,you are talking 
4245,starej ,old one 
4246,wariat ,lunatic 
4247,odwal ,fuck off 
4248,wspaniałym ,wonderful 
4249,przekaż ,message 
4250,dług ,debt 
4251,lód ,ice 
4252,liczę ,I'm counting 
4253,kobietami ,women 
4254,czoła ,forehead 
4255,obiecałeś ,you promised 
4256,próbowałeś ,you tried 
4257,pilnować ,watch 
4258,służy ,serves 
4259,spierdalaj ,fuck off 
4260,zabójstwa ,murders 
4261,tył ,back 
4262,wiedzy ,knowledge 
4263,gniew ,anger 
4264,skacz ,jump 
4265,wirusa ,virus 
4266,rodzicami ,parents 
4267,hałas ,noise 
4268,głupiego ,stupid 
4269,miewa ,happens 
4270,zabierzemy ,we'll take it 
4271,odwagę ,courage 
4272,kontaktu ,contact 
4273,dużym ,big 
4274,postaraj ,try 
4275,poczta ,post 
4277,wysiadaj ,get off 
4278,wioski ,villages 
4279,wyszedłem ,I left 
4280,zauważył ,he noticed 
4281,vince ,Vince 
4282,właź ,hatch 
4283,kierowca ,driver 
4284,zapłacił ,he paid 
4285,rzymu ,Rome 
4286,niżej ,lower 
4287,ledwie ,hardly 
4288,patrząc ,looking 
4289,alkohol ,alcohol 
4290,pragnie ,desires 
4291,otworzę ,I'll open it 
4292,pieprzoną ,fucking 
4293,przeprosiny ,apology 
4294,teddy ,teddy 
4295,młodą ,young 
4296,ofertę ,offer 
4297,strażników ,guards 
4298,przestanie ,it will stop 
4299,sercem ,heart 
4300,trupem ,dead 
4301,zginiesz ,you will die 
4302,zaprosić ,invite 
4303,dzielnicy ,district 
4304,karetkę ,ambulance 
4305,emeryturę ,retirement 
4306,nożem ,knife 
4307,don't ,don't 
4308,przyprowadź ,bring 
4309,king ,king 
4310,delikatnie ,gently 
4311,prochy ,ashes 
4312,próbowała ,she tried 
4313,dżungli ,jungle 
4314,nastąpi ,will happen 
4315,megan ,Megan 
4316,nazywamy ,we call 
4317,dzieło ,work 
4318,czytasz ,you are reading 
4319,connor ,Connor 
4320,zginęło ,died 
4321,ludzkiej ,human 
4322,jednakże ,however 
4323,fox ,fox 
4324,prowadził ,he was driving 
4325,niezwykle ,unusually 
4326,dało ,it gave 
4327,dziewczynką ,girl 
4328,lord ,lord 
4329,wygra ,will win 
4330,pozycje ,items 
4331,zemsty ,revenge 
4332,spróbujemy ,We will try 
4333,ogromny ,huge 
4334,zdrowy ,healthy 
4335,historie ,stories 
4336,skok ,jump 
4337,punkty ,points 
4338,prawnik ,lawyer 
4339,bitwy ,battles 
4340,cieszy ,happy 
4341,wymyślić ,invent 
4342,wręcz ,downright 
4343,języka ,language 
4344,oczekuję ,I expect 
4345,toast ,toast 
4346,jennifer ,jennifer 
4347,rozdział ,chapter 
4348,każę ,I order 
4349,przynosi ,brings 
4350,gruby ,fat 
4352,myślała ,she thought 
4353,robiłam ,I was doing 
4354,zamknijcie ,close 
4355,ian ,ian 
4356,znaleźliście ,you found it 
4357,przestępstwo ,offense 
4358,rozpocząć ,to begin 
4359,cięcie ,cutting 
4360,zajebiście ,awesome 
4361,nadaje ,suitable 
4362,konta ,accounts 
4363,trzecie ,third 
4364,bogów ,gods 
4365,domyślam ,I guess 
4366,taśmę ,tape 
4367,lekcji ,lesson 
4368,wierzą ,they believe 
4369,powodem ,reason 
4370,dotykać ,touch 
4371,brał ,he took 
4372,żartowałem ,I joked 
4373,sid ,sid 
4374,get ,get 
4375,wygrałem ,I won 
4376,wprowadzić ,to introduce 
4377,dzieciaków ,kids 
4378,dłonie ,hands 
4379,zobaczą ,they will see 
4380,panny ,Misses 
4381,ni ,ni 
4382,śmiesz ,you dare 
4383,nazwa ,name 
4384,ciał ,bodies 
4385,proponuję ,I propose 
4386,spokojny ,calm 
4387,wizytę ,visit 
4388,madame ,madam 
4389,jamie ,jamie 
4390,członkiem ,member 
4391,wolnego ,free time 
4392,zastrzelił ,he shot 
4393,hot ,hot 
4394,martwisz ,you are worried 
4395,podzielić ,to divide 
4396,symbol ,symbol 
4397,głosy ,voices 
4398,snów ,dreams 
4399,kolesia ,dude 
4400,stoisz ,you are standing 
4401,pusty ,empty 
4402,charlotte ,Charlotte 
4403,zauważyłeś ,you noticed 
4404,mordę ,face 
4405,znajomych ,friends 
4406,badanie ,test 
4407,logan ,logan 
4408,zrobiliście ,you did 
4409,zostajesz ,you stay 
4410,tamtą ,that one 
4411,audrey ,audrey 
4412,obowiązki ,duties 
4413,bum ,boom 
4414,zmusić ,force 
4415,dziecinko ,baby 
4416,know ,know 
4417,świetle ,light 
4418,panienki ,ladies 
4419,skurwysynu ,motherfucker 
4420,opuść ,leave 
4421,załoga ,crew 
4422,młodych ,young 
4423,tunelu ,tunnel 
4424,postać ,character 
4425,wybuch ,explosion 
4426,gapisz ,you stare 
4427,sonny ,sonny 
4428,bauer ,Bauer 
4429,ładunek ,load 
4430,zazdrosny ,jealous 
4431,michaela ,Michael 
4432,jen ,yen 
4433,większą ,bigger 
4434,podobnego ,similar 
4435,walcz ,fight 
4436,pocałunek ,kiss 
4437,białym ,white 
4438,jo ,yo 
